Season 2 Ranking Wins

65位 : shumai (現在11連勝中, 最大11連勝)
66位 : 葉洞 (現在10連勝中, 最大10連勝)
66位 : K.I. (現在10連勝中, 最大10連勝)
68位 : てってー！ (現在9連勝中, 最大26連勝)
69位 : ぬるぱ (現在8連勝中, 最大8連勝)
70位 : reakyo_kun (現在7連勝中, 最大7連勝)
70位 : Gumi-ttan (現在7連勝中, 最大7連勝)
70位 : clnoss (現在7連勝中, 最大7連勝)
73位 : Mr.croqutter (現在6連勝中, 最大6連勝)
74位 : ARM交易会社最高責任者兼CEO アルマゲドン (現在4連勝中, 最大4連勝)
74位 : ドレミー (現在4連勝中, 最大4連勝)
76位 : ラブオ (現在3連勝中, 最大693連勝)
76位 : Salmon_P_0517 (現在3連勝中, 最大6連勝)
76位 : のすけ (現在3連勝中, 最大3連勝)
79位 : Sio (現在2連勝中, 最大2連勝)
79位 : 輪ゴム (現在2連勝中, 最大2連勝)
79位 : sugas (現在2連勝中, 最大2連勝)
82位 : シュガー♪ (現在1連勝中, 最大259連勝)
82位 : ATM (現在1連勝中, 最大1連勝)
82位 : つぶあん派 (現在1連勝中, 最大1連勝)
82位 : しうん (現在1連勝中, 最大1連勝)
82位 : こんにゃく (現在1連勝中, 最大1連勝)
82位 : ぺこり (現在1連勝中, 最大1連勝)
82位 : ぴうりん。 (現在1連勝中, 最大1連勝)
82位 : yzyt (現在1連勝中, 最大1連勝)
82位 : きょねざい (現在1連勝中, 最大1連勝)
82位 : パルル (現在1連勝中, 最大1連勝)
92位 : えにゅた (現在0連勝中, 最大707連勝)
92位 : ケイスケホンダ (現在0連勝中, 最大2連勝)


-----------------------------------------------------------


Season 2 Ranking WinsAll

1位 : ノロ (38315勝276敗, 勝率99.28%)
2位 : ふらしゅこ (35549勝250敗, 勝率99.30%)
3位 : 7 (33415勝234敗, 勝率99.30%)
4位 : ロッティロール (27125勝184敗, 勝率99.33%)
5位 : ミネルバのふくろう (22257勝148敗, 勝率99.34%)
6位 : どろしあ (20677勝157敗, 勝率99.25%)
7位 : 👻(ฅº👅ºฅ)👻 (18216勝115敗, 勝率99.37%)
8位 : えにゅた (12861勝84敗, 勝率99.35%)
9位 : はるかぜ (12111勝84敗, 勝率99.31%)
10位 : プロメテウス (10668勝74敗, 勝率99.31%)
11位 : KasaJizo (8778勝62敗, 勝率99.30%)
